Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160219_RC_Mcap_1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-19 10:36:09 AM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,EXPFAIL
B1,202_10.01.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.07914162,24.73058701,0.49292931,,,,FALSE,0.01,TRUE,3,22,,N,N,N
B2,202_10.01.15,Mc,UNKNOWN,FAM,NFQ-MGB,24.3820343,24.73058701,0.49292931,,,,FALSE,0.01,TRUE,3,21,,N,N,N
B3,202_10.01.15,C,UNKNOWN,VIC,NFQ-MGB,26.53670692,26.55372047,0.024060793,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B3,202_10.01.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B4,202_10.01.15,C,UNKNOWN,VIC,NFQ-MGB,26.57073402,26.55372047,0.024060793,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B4,202_10.01.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B5,32_10.01.15,Mc,UNKNOWN,FAM,NFQ-MGB,23.5689373,23.66252327,0.132350549,,,,FALSE,0.01,TRUE,3,21,,N,N,N
B6,32_10.01.15,Mc,UNKNOWN,FAM,NFQ-MGB,23.75610924,23.66252327,0.132350549,,,,FALSE,0.01,TRUE,3,21,,N,N,N
B7,32_10.01.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B7,32_10.01.15,D,UNKNOWN,FAM,NFQ-MGB,27.54007912,27.4763031,0.090191558,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B8,32_10.01.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B8,32_10.01.15,D,UNKNOWN,FAM,NFQ-MGB,27.41252899,27.4763031,0.090191558,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B9,126_10.01.15,Mc,UNKNOWN,FAM,NFQ-MGB,23.86766434,23.88029671,0.017864868,,,,FALSE,0.01,TRUE,3,22,,N,N,N
B10,126_10.01.15,Mc,UNKNOWN,FAM,NFQ-MGB,23.89292908,23.88029671,0.017864868,,,,FALSE,0.01,TRUE,3,21,,N,N,N
B11,126_10.01.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
B11,126_10.01.15,D,UNKNOWN,FAM,NFQ-MGB,29.03848267,30.59603882,2.202717066,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
B12,126_10.01.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
B12,126_10.01.15,D,UNKNOWN,FAM,NFQ-MGB,32.15359497,30.59603882,2.202717066,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
C1,202_10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,24.84742737,24.68423843,0.230782658,,,,FALSE,0.01,TRUE,3,22,,N,N,N
C2,202_10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,24.52105141,24.68423843,0.230782658,,,,FALSE,0.01,TRUE,3,23,,N,N,N
C3,202_10.21.15,C,UNKNOWN,VIC,NFQ-MGB,28.4337101,28.45780563,0.034076232,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C3,202_10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C4,202_10.21.15,C,UNKNOWN,VIC,NFQ-MGB,28.48190117,28.45780563,0.034076232,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C4,202_10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C5,32_10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,36.69591904,23.81944275,18.21008873,,,,FALSE,0.01,TRUE,3,34,,N,Y,N
C6,32_10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,10.94296551,23.81944275,18.21008873,,,,FALSE,0.01,TRUE,3,39,,N,Y,Y
C7,32_10.21.15,C,UNKNOWN,VIC,NFQ-MGB,32.75880051,33.00918579,0.35409826,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C7,32_10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C8,32_10.21.15,C,UNKNOWN,VIC,NFQ-MGB,33.25957108,33.00918579,0.35409826,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C8,32_10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C9,126_10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,30.0643158,30.10947227,0.063860908,,,,FALSE,0.01,TRUE,3,28,,N,N,N
C10,126_10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,30.15462875,30.10947227,0.063860908,,,,FALSE,0.01,TRUE,3,27,,N,N,N
C11,126_10.21.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C11,126_10.21.15,D,UNKNOWN,FAM,NFQ-MGB,30.45388603,30.47257233,0.02642641,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C12,126_10.21.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C12,126_10.21.15,D,UNKNOWN,FAM,NFQ-MGB,30.49125862,30.47257233,0.02642641,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D1,202_11.04.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.76297569,25.32533646,0.618914008,,,,FALSE,0.01,TRUE,3,23,,N,Y,N
D2,202_11.04.15,Mc,UNKNOWN,FAM,NFQ-MGB,24.88769913,25.32533646,0.618914008,,,,FALSE,0.01,TRUE,3,22,,N,Y,N
D3,202_11.04.15,C,UNKNOWN,VIC,NFQ-MGB,25.56554222,25.51206207,0.075633697,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D3,202_11.04.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D4,202_11.04.15,C,UNKNOWN,VIC,NFQ-MGB,25.45858002,25.51206207,0.075633697,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D4,202_11.04.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D5,32_11.04.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.60185623,25.54966354,0.073810257,,,,FALSE,0.01,TRUE,3,23,,N,N,N
D6,32_11.04.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.49747276,25.54966354,0.073810257,,,,FALSE,0.01,TRUE,3,23,,N,N,N
D7,32_11.04.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D7,32_11.04.15,D,UNKNOWN,FAM,NFQ-MGB,27.86815834,27.60007668,0.379124731,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D8,32_11.04.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D8,32_11.04.15,D,UNKNOWN,FAM,NFQ-MGB,27.33199501,27.60007668,0.379124731,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D9,126_11.04.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.82107162,26.71425819,0.151057005,,,,FALSE,0.01,TRUE,3,24,,N,N,N
D10,126_11.04.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.60744476,26.71425819,0.151057005,,,,FALSE,0.01,TRUE,3,24,,N,N,N
D11,126_11.04.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D11,126_11.04.15,D,UNKNOWN,FAM,NFQ-MGB,28.57786179,28.69284058,0.162605911,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D12,126_11.04.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D12,126_11.04.15,D,UNKNOWN,FAM,NFQ-MGB,28.80782127,28.69284058,0.162605911,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E1,202_12.04.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.55381584,25.44217682,0.157881424,,,,FALSE,0.01,TRUE,3,22,,N,N,N
E2,202_12.04.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.3305378,25.44217682,0.157881424,,,,FALSE,0.01,TRUE,3,22,,N,N,N
E3,202_12.04.15,C,UNKNOWN,VIC,NFQ-MGB,26.58008575,26.83997726,0.367540747,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E3,202_12.04.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E4,202_12.04.15,C,UNKNOWN,VIC,NFQ-MGB,27.09986687,26.83997726,0.367540747,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E4,202_12.04.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E5,32_12.04.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.78792191,26.7224617,0.092574708,,,,FALSE,0.01,TRUE,3,24,,N,N,N
E6,32_12.04.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.6570015,26.7224617,0.092574708,,,,FALSE,0.01,TRUE,3,23,,N,N,N
E7,32_12.04.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E7,32_12.04.15,D,UNKNOWN,FAM,NFQ-MGB,29.44477844,29.47662544,0.045038458,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E8,32_12.04.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E8,32_12.04.15,D,UNKNOWN,FAM,NFQ-MGB,29.50847244,29.47662544,0.045038458,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E9,126_12.04.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.60531807,25.77314377,0.237340033,,,,FALSE,0.01,TRUE,3,23,,N,N,N
E10,126_12.04.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.94096756,25.77314377,0.237340033,,,,FALSE,0.01,TRUE,3,22,,N,N,N
E11,126_12.04.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E11,126_12.04.15,D,UNKNOWN,FAM,NFQ-MGB,27.62031364,27.77815056,0.223215103,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E12,126_12.04.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E12,126_12.04.15,D,UNKNOWN,FAM,NFQ-MGB,27.93598747,27.77815056,0.223215103,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F1,202_01.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,25.75668526,25.53069687,0.319597185,,,,FALSE,0.01,TRUE,3,22,,N,N,N
F2,202_01.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,25.30470657,25.53069687,0.319597185,,,,FALSE,0.01,TRUE,3,23,,N,N,N
F3,202_01.20.16,C,UNKNOWN,VIC,NFQ-MGB,27.01898193,27.06176186,0.060499948,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F3,202_01.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F4,202_01.20.16,C,UNKNOWN,VIC,NFQ-MGB,27.10454178,27.06176186,0.060499948,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F4,202_01.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F5,32_01.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,23.81914711,23.76610947,0.075005203,,,,FALSE,0.01,TRUE,3,22,,N,N,N
F6,32_01.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,23.71307373,23.76610947,0.075005203,,,,FALSE,0.01,TRUE,3,21,,N,N,N
F7,32_01.20.16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F7,32_01.20.16,D,UNKNOWN,FAM,NFQ-MGB,27.61584473,27.88161469,0.375855476,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F8,32_01.20.16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F8,32_01.20.16,D,UNKNOWN,FAM,NFQ-MGB,28.14738464,27.88161469,0.375855476,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F9,126_01.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,29.09659958,29.52344131,0.603646696,,,,FALSE,0.01,TRUE,3,26,,N,Y,N
F10,126_01.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,29.95028496,29.52344131,0.603646696,,,,FALSE,0.01,TRUE,3,27,,N,Y,N
F11,126_01.20.16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F11,126_01.20.16,D,UNKNOWN,FAM,NFQ-MGB,30.06832504,30.17133904,0.14568378,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F12,126_01.20.16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F12,126_01.20.16,D,UNKNOWN,FAM,NFQ-MGB,30.27435303,30.17133904,0.14568378,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G1,32_08.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,24.56118774,24.21478271,0.489889354,,,,FALSE,0.01,TRUE,3,22,,N,N,N
G2,32_08.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,23.86837959,24.21478271,0.489889354,,,,FALSE,0.01,TRUE,3,21,,N,N,N
G3,32_08.11.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G3,32_08.11.15,D,UNKNOWN,FAM,NFQ-MGB,27.30736542,27.10708618,0.283238947,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G4,32_08.11.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G4,32_08.11.15,D,UNKNOWN,FAM,NFQ-MGB,26.90680504,27.10708618,0.283238947,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G5,126_08.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.44040298,25.47969437,0.055566404,,,,FALSE,0.01,TRUE,3,23,,N,N,N
G6,126_08.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.51898575,25.47969437,0.055566404,,,,FALSE,0.01,TRUE,3,22,,N,N,N
G7,126_08.11.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G7,126_08.11.15,D,UNKNOWN,FAM,NFQ-MGB,28.77402115,28.81480026,0.057669029,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G8,126_08.11.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G8,126_08.11.15,D,UNKNOWN,FAM,NFQ-MGB,28.85557747,28.81480026,0.057669029,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G9,237_10.01.15,Mc,UNKNOWN,FAM,NFQ-MGB,31.73967743,31.52671814,0.301168561,,,,FALSE,0.01,TRUE,3,29,,N,N,N
G10,237_10.01.15,Mc,UNKNOWN,FAM,NFQ-MGB,31.31376076,31.52671814,0.301168561,,,,FALSE,0.01,TRUE,3,28,,N,N,N
G11,237_10.01.15,C,UNKNOWN,VIC,NFQ-MGB,30.30338287,30.46352768,0.226477608,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G11,237_10.01.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G12,237_10.01.15,C,UNKNOWN,VIC,NFQ-MGB,30.62367058,30.46352768,0.226477608,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G12,237_10.01.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H1,,,,,,,,,,,,,,,,,,N,N,N
H2,237_10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.95149994,29.92589569,0.036208525,,,,FALSE,0.01,TRUE,3,28,,N,N,N
H3,237_10.21.15,C,UNKNOWN,VIC,NFQ-MGB,28.94063377,28.7399807,0.283766299,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H3,237_10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H4,+,C,UNKNOWN,VIC,NFQ-MGB,30.35254288,30.06377029,0.408386111,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H4,+,D,UNKNOWN,FAM,NFQ-MGB,29.51692581,29.63213348,0.162928253,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H5,126_09.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.26807022,28.34753036,0.112372264,,,,FALSE,0.01,TRUE,3,26,,N,N,N
H6,126_09.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.4269886,28.34753036,0.112372264,,,,FALSE,0.01,TRUE,3,26,,N,N,N
H7,126_09.14.15,C,UNKNOWN,VIC,NFQ-MGB,37.74924469,37.74924469,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H7,126_09.14.15,D,UNKNOWN,FAM,NFQ-MGB,29.22323799,29.28092384,0.081580117,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H8,126_09.14.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.74924469,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H8,126_09.14.15,D,UNKNOWN,FAM,NFQ-MGB,29.3386097,29.28092384,0.081580117,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H9,NTC,Mc,NTC,FAM,NFQ-MGB,9.40496254,,,,,,FALSE,0.01,TRUE,3,39,,Y,N,N
H10,NTC,Mc,NTC,FAM,NFQ-MGB,9.139852524,,,,,,FALSE,0.01,TRUE,3,39,,Y,N,N
H11,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H11,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
