Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160219_RC_Mcap_1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-19 10:36:09 AM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,EXPFAIL
A1,,,,,,,,,,,,,,,,,,N,N,N
A2,237_10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.90029335,29.92589569,0.036208525,,,,FALSE,0.01,TRUE,3,26,,N,N,N
A3,237_10.21.15,C,UNKNOWN,VIC,NFQ-MGB,28.53932762,28.7399807,0.283766299,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A3,237_10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A4,+,C,UNKNOWN,VIC,NFQ-MGB,29.77499771,30.06377029,0.408386111,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A4,+,D,UNKNOWN,FAM,NFQ-MGB,29.74734116,29.63213348,0.162928253,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A5,32_09.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,24.86863708,25.23756981,0.521749675,,,,FALSE,0.01,TRUE,3,22,,N,Y,N
A6,32_09.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.60650253,25.23756981,0.521749675,,,,FALSE,0.01,TRUE,3,22,,N,Y,N
A7,32_09.14.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A7,32_09.14.15,D,UNKNOWN,FAM,NFQ-MGB,28.26684189,28.11045074,0.221171826,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A8,32_09.14.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A8,32_09.14.15,D,UNKNOWN,FAM,NFQ-MGB,27.95405769,28.11045074,0.221171826,,,,FALSE,0.01,FALSE,3,20,,N,N,N
A9,+,Mc,UNKNOWN,FAM,NFQ-MGB,25.99209595,26.16507721,0.244632453,,,,FALSE,0.01,TRUE,3,24,,N,N,N
A10,+,Mc,UNKNOWN,FAM,NFQ-MGB,26.33805847,26.16507721,0.244632453,,,,FALSE,0.01,TRUE,3,23,,N,N,N
A11,,,,,,,,,,,,,,,,,,N,N,N
A12,,,,,,,,,,,,,,,,,,N,N,N
