Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160224_CH_Mcap_6.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-24 12:43:42 PM HST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
B11,215-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
B12,215-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,34.87252808,34.67299271,0.282185614,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
B12,215-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
C1,112-9.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,30.52319145,30.03194809,0.694721699,,,,FALSE,0.01,TRUE,3,25,,N,Y,N,N
C2,112-9.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.54070663,30.03194809,0.694721699,,,,FALSE,0.01,TRUE,3,24,,N,Y,N,N
C3,112-9.14.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
C3,112-9.14.15,D,UNKNOWN,FAM,NFQ-MGB,29.61292076,29.67697525,0.090586729,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
C4,112-9.14.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
C4,112-9.14.15,D,UNKNOWN,FAM,NFQ-MGB,29.74102974,29.67697525,0.090586729,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
C5,223-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.06476402,27.00349617,0.086645827,,,,FALSE,0.01,TRUE,3,24,,N,N,N,N
C6,223-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.94222832,27.00349617,0.086645827,,,,FALSE,0.01,TRUE,3,23,,N,N,N,N
C7,223-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,33.97298813,33.34218979,0.892083585,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
C7,223-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,34.52282715,34.58757401,0.091565885,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
C8,223-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,32.71139145,33.34218979,0.892083585,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
C8,223-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,34.65232086,34.58757401,0.091565885,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
C9,215-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.5471611,26.34944725,0.279609621,,,,FALSE,0.01,TRUE,3,23,,N,N,N,N
C10,215-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.1517334,26.34944725,0.279609621,,,,FALSE,0.01,TRUE,3,21,,N,N,N,N
C11,215-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,30.10142708,30.17760277,0.10772869,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
C11,215-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
C12,215-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,30.25377846,30.17760277,0.10772869,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
C12,215-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
D1,112-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.46174431,28.20988083,0.356190085,,,,FALSE,0.01,TRUE,3,24,,N,N,N,N
D2,112-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.95801544,28.20988083,0.356190085,,,,FALSE,0.01,TRUE,3,24,,N,N,N,N
D3,112-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,32.32239151,32.6807785,0.506838441,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
D3,112-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,30.25968552,30.21532631,0.062733389,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
D4,112-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,33.03916931,32.6807785,0.506838441,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
D4,112-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,30.1709671,30.21532631,0.062733389,,,,FALSE,0.01,FALSE,3,20,,N,Y,N,N
D5,223-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.16781425,28.18772507,0.028156793,,,,FALSE,0.01,TRUE,3,23,,N,N,N,N
D6,223-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.20763397,28.18772507,0.028156793,,,,FALSE,0.01,TRUE,3,22,,N,N,N,N
D7,223-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,36.8800354,36.56913757,0.439675927,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
D7,223-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,30.83760262,31.05777359,0.311370134,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
