Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160222_CH_Mcap_3.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-22 14:54:21 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,EXPFAIL
C3,238-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,29.77914619,29.67448997,0.148006245,,,,FALSE,0.01,FALSE,5,20,,N,N,N
C4,238-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,28.74811745,28.75676727,0.012232701,,,,FALSE,0.01,FALSE,5,20,,N,N,N
C4,238-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,29.56983376,29.67448997,0.148006245,,,,FALSE,0.01,FALSE,5,20,,N,N,N
C5,121-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.27936172,26.42614746,0.207587734,,,,FALSE,0.01,TRUE,3,24,,N,N,N
C6,121-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.5729351,26.42614746,0.207587734,,,,FALSE,0.01,TRUE,3,23,,N,N,N
C7,121-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,28.15692711,28.18466377,0.039225567,,,,FALSE,0.01,FALSE,5,20,,N,N,N
C7,121-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
C8,121-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,28.21240044,28.18466377,0.039225567,,,,FALSE,0.01,FALSE,5,20,,N,N,N
C8,121-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
C9,234-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,8.441482544,9.045125961,0.853681386,,,,FALSE,0.01,TRUE,3,35,,N,Y,N
C10,234-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,9.648770332,9.045125961,0.853681386,,,,FALSE,0.01,TRUE,3,39,,N,Y,Y
C11,234-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
C11,234-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,30.47688293,30.56377411,0.122881331,,,,FALSE,0.01,FALSE,5,20,,N,N,N
C12,234-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
C12,234-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,30.65066338,30.56377411,0.122881331,,,,FALSE,0.01,FALSE,5,20,,N,N,N
