Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160224_CH_Mcap_7.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-24 14:20:21 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP
A9,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,30.49869919,30.49343491,0.007446168,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
A9,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,28.29478645,28.65196991,0.505132318,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
A10,(+)78-10.24.14,C,UNKNOWN,VIC,NFQ-MGB,30.48816872,30.49343491,0.007446168,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
A10,(+)78-10.24.14,D,UNKNOWN,FAM,NFQ-MGB,29.00915146,28.65196991,0.505132318,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
A11,,,,,,,,,,,,,,,,,,N,N,N
A12,,,,,,,,,,,,,,,,,,N,N,N
B1,205-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,28.8047905,28.50289154,0.426950961,,,,FALSE,0.01,TRUE,3,24,,N,N,N
B2,205-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,28.20099068,28.50289154,0.426950961,,,,FALSE,0.01,TRUE,3,24,,N,N,N
B3,205-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,26.63015175,26.78352547,0.216903195,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B3,205-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B4,205-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,26.93689919,26.78352547,0.216903195,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B4,205-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B5,43-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.13109398,26.260952,0.183645621,,,,FALSE,0.01,TRUE,3,22,,N,N,N
B6,43-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.39080811,26.260952,0.183645621,,,,FALSE,0.01,TRUE,3,21,,N,N,N
B7,43-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,29.1726017,29.07516861,0.137789845,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B7,43-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B8,43-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,28.97773743,29.07516861,0.137789845,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B8,43-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B9,44-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,25.62239075,25.48438644,0.195166215,,,,FALSE,0.01,TRUE,3,19,,N,N,N
B10,44-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,25.34638405,25.48438644,0.195166215,,,,FALSE,0.01,TRUE,3,21,,N,N,N
B11,44-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,25.60169411,25.5014286,0.141796827,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B11,44-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B12,44-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,25.4011631,25.5014286,0.141796827,,,,FALSE,0.01,FALSE,3,20,,N,N,N
B12,44-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C1,43-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.23200798,27.92413139,0.435403258,,,,FALSE,0.01,TRUE,3,23,,N,N,N
C2,43-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.61625481,27.92413139,0.435403258,,,,FALSE,0.01,TRUE,3,24,,N,N,N
C3,43-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,26.84209061,27.22631073,0.543370664,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
C3,43-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
C4,43-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,27.61053276,27.22631073,0.543370664,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
C4,43-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
C5,44-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.68654442,25.64585495,0.05754225,,,,FALSE,0.01,TRUE,3,22,,N,N,N
C6,44-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.60516739,25.64585495,0.05754225,,,,FALSE,0.01,TRUE,3,21,,N,N,N
C7,44-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,26.3759613,26.3578701,0.025584823,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C7,44-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C8,44-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,26.3397789,26.3578701,0.025584823,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C8,44-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C9,127-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.76357651,28.69798088,0.092766225,,,,FALSE,0.01,TRUE,3,24,,N,N,N
C10,127-8.11.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.63238525,28.69798088,0.092766225,,,,FALSE,0.01,TRUE,3,24,,N,N,N
C11,127-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,26.18266487,26.12527466,0.081160672,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C11,127-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C12,127-8.11.15,C,UNKNOWN,VIC,NFQ-MGB,26.06788635,26.12527466,0.081160672,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C12,127-8.11.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D1,43-9.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.7681694,28.76260376,0.00786966,,,,FALSE,0.01,TRUE,3,25,,N,N,N
D2,43-9.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.75704002,28.76260376,0.00786966,,,,FALSE,0.01,TRUE,3,25,,N,N,N
D3,43-9.14.15,C,UNKNOWN,VIC,NFQ-MGB,31.95628357,32.43252563,0.673505306,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
D3,43-9.14.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
D4,43-9.14.15,C,UNKNOWN,VIC,NFQ-MGB,32.90876389,32.43252563,0.673505306,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
D4,43-9.14.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
D5,44-9.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.61734772,27.41542053,0.285569519,,,,FALSE,0.01,TRUE,3,23,,N,N,N
D6,44-9.14.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.21349144,27.41542053,0.285569519,,,,FALSE,0.01,TRUE,3,23,,N,N,N
D7,44-9.14.15,C,UNKNOWN,VIC,NFQ-MGB,26.40266609,26.40792084,0.007431332,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D7,44-9.14.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D8,44-9.14.15,C,UNKNOWN,VIC,NFQ-MGB,26.41317558,26.40792084,0.007431332,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D8,44-9.14.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
D9,206-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.84773827,29.79933167,0.068458617,,,,FALSE,0.01,TRUE,3,26,,N,N,N
D10,206-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.75092316,29.79933167,0.068458617,,,,FALSE,0.01,TRUE,3,26,,N,N,N
D11,206-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,28.65612411,28.94796944,0.412731618,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
D11,206-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,28.43997574,28.87115097,0.609773874,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
D12,206-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,29.23981476,28.94796944,0.412731618,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
D12,206-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,29.3023262,28.87115097,0.609773874,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
E1,43-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.21686745,29.08036232,0.193047404,,,,FALSE,0.01,TRUE,3,25,,N,N,N
E2,43-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.94385719,29.08036232,0.193047404,,,,FALSE,0.01,TRUE,3,24,,N,N,N
E3,43-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
E3,43-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
E4,43-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
E4,43-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
E5,44-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.44245529,26.1762104,0.376527131,,,,FALSE,0.01,TRUE,3,21,,N,N,N
E6,44-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.90996552,26.1762104,0.376527131,,,,FALSE,0.01,TRUE,3,22,,N,N,N
E7,44-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,26.6439724,26.57534409,0.097053736,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E7,44-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E8,44-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,26.50671768,26.57534409,0.097053736,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E8,44-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E9,206-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.66328621,27.65849495,0.006775864,,,,FALSE,0.01,TRUE,3,23,,N,N,N
E10,206-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.65370369,27.65849495,0.006775864,,,,FALSE,0.01,TRUE,3,23,,N,N,N
E11,206-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,32.55899811,32.52736664,0.044733655,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E11,206-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,26.55102921,26.50557137,0.064287096,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E12,206-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,32.49573517,32.52736664,0.044733655,,,,FALSE,0.01,FALSE,3,20,,N,N,N
E12,206-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,26.46011353,26.50557137,0.064287096,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F1,43-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.80968666,28.53137589,0.393589526,,,,FALSE,0.01,TRUE,3,25,,N,N,N
F2,43-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.25306702,28.53137589,0.393589526,,,,FALSE,0.01,TRUE,3,24,,N,N,N
F3,43-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F3,43-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F4,43-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
F4,43-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
F5,44-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.34690475,24.99491119,0.497792721,,,,FALSE,0.01,TRUE,3,20,,N,N,N
F6,44-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,24.64291954,24.99491119,0.497792721,,,,FALSE,0.01,TRUE,3,20,,N,N,N
F7,44-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,26.23321915,25.61544037,0.873669803,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
F7,44-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
F8,44-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,24.9976635,25.61544037,0.873669803,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
F8,44-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
F9,206-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.70492363,27.65982628,0.063777283,,,,FALSE,0.01,TRUE,3,23,,N,N,N
F10,206-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.61472893,27.65982628,0.063777283,,,,FALSE,0.01,TRUE,3,23,,N,N,N
F11,206-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,26.85671616,27.15125656,0.416541696,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F11,206-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,28.59157753,28.48525047,0.150369167,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F12,206-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,27.44579506,27.15125656,0.416541696,,,,FALSE,0.01,FALSE,3,20,,N,N,N
F12,206-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,28.37892342,28.48525047,0.150369167,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G1,43-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.12014771,28.91729355,0.286880434,,,,FALSE,0.01,TRUE,3,24,,N,N,N
G2,43-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.71443748,28.91729355,0.286880434,,,,FALSE,0.01,TRUE,3,24,,N,N,N
G3,43-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,36.27799606,35.39313507,1.25138247,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
G3,43-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
G4,43-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,34.50827408,35.39313507,1.25138247,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
G4,43-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
G5,44-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.33109665,27.37155914,0.057222608,,,,FALSE,0.01,TRUE,3,23,,N,N,N
G6,44-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.41202164,27.37155914,0.057222608,,,,FALSE,0.01,TRUE,3,23,,N,N,N
G7,44-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,25.43510818,25.44637299,0.015929487,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G7,44-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G8,44-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,25.45763588,25.44637299,0.015929487,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G8,44-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
G9,206-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,35.5906601,34.80729294,1.107848406,,,,FALSE,0.01,TRUE,3,31,,N,Y,N
G10,206-11.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,34.02392578,34.80729294,1.107848406,,,,FALSE,0.01,TRUE,3,29,,N,Y,N
G11,206-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,28.84720421,29.06069374,0.301919788,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
G11,206-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,34.89339447,34.32658005,0.801596642,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
G12,206-11.4.15,C,UNKNOWN,VIC,NFQ-MGB,29.27418327,29.06069374,0.301919788,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
G12,206-11.4.15,D,UNKNOWN,FAM,NFQ-MGB,33.75976563,34.32658005,0.801596642,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
H1,,,,,,,,,,,,,,,,,,N,N,N
H2,205-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,27.14589882,27.08191872,0.090481527,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H2,205-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H3,205-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,27.01793861,27.08191872,0.090481527,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H3,205-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H4,(+)78-10.24.14,Mc,UNKNOWN,FAM,NFQ-MGB,28.74124146,28.65394974,0.12345048,,,,FALSE,0.01,TRUE,3,24,,N,N,N
H5,44-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.17094612,26.01239014,0.224232018,,,,FALSE,0.01,TRUE,3,21,,N,N,N
H6,44-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,25.85383415,26.01239014,0.224232018,,,,FALSE,0.01,TRUE,3,21,,N,N,N
H7,44-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,27.47594833,27.55942535,0.118054338,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H7,44-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H8,44-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,27.64290237,27.55942535,0.118054338,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H8,44-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H9,NTC,Mc,NTC,FAM,NFQ-MGB,12.1122694,,,,,,FALSE,0.01,TRUE,3,39,,Y,N,N
H10,NTC,Mc,NTC,FAM,NFQ-MGB,11.91195202,,,,,,FALSE,0.01,TRUE,3,39,,Y,N,N
H11,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H11,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
