Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160224_CH_Mcap_7.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-24 14:20:21 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N,N
A2,205-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.73950386,26.80921745,0.098589905,,,,FALSE,0.01,TRUE,3,22,,N,N,N
A3,205-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.87893105,26.80921745,0.098589905,,,,FALSE,0.01,TRUE,3,22,,N,N,N
A4,(+)78-10.24.14,Mc,UNKNOWN,FAM,NFQ-MGB,28.56665611,28.65394974,0.12345048,,,,FALSE,0.01,TRUE,3,24,,N,N,N
A5,43-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.23614883,27.82710266,0.835733593,,,,FALSE,0.01,TRUE,3,23,,N,Y,N
A6,43-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.41805458,27.82710266,0.835733593,,,,FALSE,0.01,TRUE,3,23,,N,Y,N
A7,43-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
A7,43-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
A8,43-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
A8,43-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
