colony,date,score,mortality
1,10/24/14,1,0
1,11/4/14,1,0
1,11/24/14,1,0
1,12/16/14,2,0
1,1/14/15,missing,missing
1,5/6/15,missing,missing
1,8/11/15,missing,missing
1,9/14/15,missing,missing
1,10/1/15,missing,missing
1,10/21/15,missing,missing
1,11/4/15,missing,missing
1,12/17/15,missing,missing
1,1/20/16,missing,missing
1,2/11/16,missing,missing
2,10/24/14,3,0
2,11/4/14,3,0
2,11/24/14,3,0
2,12/16/14,3,0
2,1/14/15,missing,missing
2,5/6/15,missing,missing
2,8/11/15,missing,missing
2,9/14/15,missing,missing
2,10/1/15,missing,missing
2,10/21/15,missing,missing
2,11/4/15,missing,missing
2,12/17/15,missing,missing
2,1/20/16,missing,missing
2,2/11/16,missing,missing
3,10/24/14,1,0
3,11/4/14,2,0
3,11/24/14,2,0
3,12/16/14,2,0
3,1/14/15,3,0
3,5/6/15,3,0
3,8/11/15,2,0
3,9/14/15,1,0
3,10/1/15,1,0
3,10/21/15,1,0
3,11/4/15,1,0
3,12/17/15,2,0
3,1/20/16,3,0
3,2/11/16,3,0
4,10/24/14,3,0
4,11/4/14,3,0
4,11/24/14,3,0
4,12/16/14,3,0
4,1/14/15,3,0
4,5/6/15,3,0
4,8/11/15,3,0
4,9/14/15,3,0
4,10/1/15,3,0
4,10/21/15,3,0
4,11/4/15,3,0
4,12/17/15,3,1
4,1/20/16,3,2
4,2/11/16,3,2
5,10/24/14,1,0
5,11/4/14,1,0
5,11/24/14,1,1
5,12/16/14,2,1
5,1/14/15,3,2
5,5/6/15,3,2
5,8/11/15,missing,missing
5,9/14/15,missing,missing
5,10/1/15,missing,missing
5,10/21/15,missing,missing
5,11/4/15,missing,missing
5,12/17/15,missing,missing
5,1/20/16,missing,missing
5,2/11/16,missing,missing
6,10/24/14,3,0
6,11/4/14,3,0
6,11/24/14,3,0
6,12/16/14,3,0
6,1/14/15,3,0
6,5/6/15,missing,missing
6,8/11/15,missing,missing
6,9/14/15,missing,missing
6,10/1/15,missing,missing
6,10/21/15,missing,missing
6,11/4/15,missing,missing
6,12/17/15,missing,missing
6,1/20/16,missing,missing
6,2/11/16,missing,missing
7,10/24/14,1,0
7,11/4/14,1,1
7,11/24/14,1,2
7,12/16/14,0,3
7,1/14/15,0,3
7,5/6/15,0,3
7,8/11/15,0,3
7,9/14/15,0,3
7,10/1/15,0,3
7,10/21/15,0,3
7,11/4/15,0,3
7,12/17/15,0,3
7,1/20/16,0,3
7,2/11/16,0,3
8,10/24/14,3,0
8,11/4/14,3,0
8,11/24/14,3,0
8,12/16/14,3,0
8,1/14/15,3,0
8,5/6/15,3,0
8,8/11/15,2,0
8,9/14/15,2,0
8,10/1/15,3,0
8,10/21/15,3,0
8,11/4/15,3,0
8,12/17/15,3,0
8,1/20/16,3,0
8,2/11/16,3,0
11,10/24/14,1,0
11,11/4/14,1,0
11,11/24/14,1,0
11,12/16/14,1,0
11,1/14/15,1,1
11,5/6/15,2,1
11,8/11/15,2,1
11,9/14/15,1,1
11,10/1/15,1,1
11,10/21/15,1,1
11,11/4/15,1,1
11,12/17/15,2,2
11,1/20/16,2,2
11,2/11/16,2,2
12,10/24/14,3,0
12,11/4/14,3,0
12,11/24/14,3,0
12,12/16/14,3,0
12,1/14/15,missing,missing
12,5/6/15,missing,missing
12,8/11/15,missing,missing
12,9/14/15,missing,missing
12,10/1/15,missing,missing
12,10/21/15,missing,missing
12,11/4/15,missing,missing
12,12/17/15,missing,missing
12,1/20/16,missing,missing
12,2/11/16,missing,missing
19,10/24/14,1,0
19,11/4/14,1,0
19,11/24/14,1,1
19,12/16/14,2,1
19,1/14/15,2,1
19,5/6/15,2,1
19,8/11/15,2,1
19,9/14/15,1,1
19,10/1/15,1,1
19,10/21/15,1,1
19,11/4/15,1,1
19,12/17/15,1,2
19,1/20/16,1,2
19,2/11/16,1,2
20,10/24/14,3,0
